timestamp,episode,step,reward,td_mean,td_var,loss,noise_std,latent_gap,alpha_t,gamma_t,c_t,model,seed
2026-06-27T09:28:37.345330+00:00,20,20,30.0,-1.8184372186660767,1.0830272436141968,0.8123425245285034,0.01,0.9473620653152466,0.0,1.0,0.5853126645088196,V1,0
2026-06-27T09:28:39.723147+00:00,21,21,17.0,-1.7246804237365723,1.09646475315094,0.7599815726280212,0.01,0.946406364440918,0.0,1.0,0.585829496383667,V1,0
2026-06-27T09:28:42.375433+00:00,22,22,12.0,-1.7719417810440063,1.0913883447647095,0.7870383262634277,0.01,0.946384072303772,0.0,1.0,0.5858414769172668,V1,0
2026-06-27T09:28:45.186908+00:00,23,23,22.0,-1.7599948644638062,1.0863478183746338,0.780973494052887,0.01,0.9452400803565979,0.0,1.0,0.5864607691764832,V1,0
2026-06-27T09:28:47.882768+00:00,24,24,20.0,-1.758576512336731,1.0910166501998901,0.7804273366928101,0.01,0.9454132318496704,0.0,1.0,0.5863669514656067,V1,0
2026-06-27T09:28:50.403270+00:00,25,25,19.0,-1.730202317237854,1.0868918895721436,0.765103280544281,0.01,0.9440852403640747,0.0,1.0,0.5870864987373352,V1,0
2026-06-27T09:28:53.050469+00:00,26,26,22.0,-1.6218020915985107,1.0920964479446411,0.704177975654602,0.01,0.9438235759735107,0.0,1.0,0.5872282981872559,V1,0
2026-06-27T09:28:55.357475+00:00,27,27,45.0,-1.6995266675949097,1.081429362297058,0.7488787174224854,0.01,0.9423904418945312,0.0,1.0,0.588005781173706,V1,0
2026-06-27T09:28:57.755236+00:00,28,28,12.0,-1.721375823020935,1.0773515701293945,0.7617191672325134,0.01,0.9419091939926147,0.0,1.0,0.5882670879364014,V1,0
2026-06-27T09:29:00.003578+00:00,29,29,15.0,-1.670628309249878,1.0830446481704712,0.7333588600158691,0.01,0.9416520595550537,0.0,1.0,0.5884067416191101,V1,0
2026-06-27T09:29:02.553884+00:00,30,30,23.0,-1.71703040599823,1.07745361328125,0.7600878477096558,0.01,0.941198468208313,0.0,1.0,0.5886530876159668,V1,0
